"prodotto","peso_kg","dimensioni_cm","affidabilita","nota"
"LED Solare Alcapower da Parete 1000lm con Sensore di Movimento","0.45","15.23x12.16x5.585","media","scheda tecnica ufficiale alcapower.com, cod. SWL15 - match probabile: 3 varianti simili nel catalogo fornitore (SWL11/SWL1-PRO/SWL15) tutte 1000lm+PIR, scelto SWL15 perche' il prezzo torna con la formula gia' usata per gli altri Alcapower"
"Oscurante Finestra Dometic a rullo DB1R, bianco crema, 480x530 mm","1.5","48x53","bassa",""
"Presa 12V 7 Pin in PVC/plastica","0.1","","bassa",""
"Presa 13 Poli","0.15","","bassa",""
"Presa di raccordo 12V 7 Pin","0.1","","bassa",""
"Dongle Bluetooth Smart connesso a VE.Direct","0.05","","bassa",""
"Pistola Pneumatica per Cartucce a Spruzzo","1.5","","bassa",""
"Miscelatore singolo destro Chrome, canna abbattibile","0.3","","bassa",""
"Risparmiatore acqua Stopwater","0.05","","bassa",""
"Rubinetto De Luxe cromato con micro-interruttore Ø33mm","0.4","","bassa",""
"Rubinetto singolo destro Cristal, canna abbattibile","0.3","","bassa",""
"Rubinetto singolo sinistro Chrome, canna abbattibile","0.3","","bassa",""
"Rubinetto singolo sinistro Cristal, canna abbattibile","0.3","","bassa",""
"Disgregante RinoKEM Fluid fragranza pino 2L","2.2","","media",""
"Disgregante Super Kem Blue","2.2","","media",""
"Disgregante Super Kem Sachets","0.4","","bassa",""
"Igienizzante Super Rinse 0,75L","0.85","","media","nome corretto in 0,75L (catalogo diceva erroneamente 1L)"
"RinoGrey fragranza pino 2L","2.2","","media",""
"RinoKEM Sachets 15 bustine disgreganti","0.4","","bassa","stima per analogia"
"Ferma porta ad incastro bianco","0.05","","bassa",""
"Ferma porta ad incastro grigio","0.05","","bassa",""
"Fermaporta esterno","0.05","","bassa",""
"Fermaporta esterno bianco","0.05","","bassa",""
"Fermaporta esterno bianco (rinforzato)","0.15","","bassa",""
"Fermaporta esterno bianco 32 mm","0.05","","bassa",""
"Fermaporta esterno metallico","0.2","","bassa",""
"Fermaporta esterno nero","0.05","","bassa",""
"Fermaporta magnetico KlakKlak Easy tenuta 10 kg","0.15","","bassa",""
"Fermaporta pieghevole","0.05","","bassa",""
"Fermaporta semisferico a incastro bianco","0.05","","bassa",""
"Fermaporta tondo a incastro per Laika","0.05","","bassa",""
"Catadiottro tondo (modello maggiorato)","0.1","","bassa",""
"Catadiottro tondo arancione","0.02","","bassa",""
"Catadiottro tondo arancione (2pz)","0.04","","bassa",""
"Catadiottro tondo bianco","0.02","","bassa",""
"Catadiottro tondo bianco (2pz)","0.04","","bassa",""
"Catadiottro tondo rosso","0.02","","bassa",""
"Catadiottro tondo rosso (2pz)","0.04","","bassa",""
"Dimmer Alcapower per Strisce LED con Telecomando","0.028","5x1.5x0.7 (dimmer) + 8.6x3.6x0.8 (telecomando)","alta","scheda tecnica ufficiale alcapower.com, cod. DIM-LSC03 - peso 11g dimmer + 17g telecomando"
"Faretto con interruttore ovale 6 LED","0.1","","bassa",""
"Faretto con interruttore ovale 6 LED (blister)","0.1","","bassa",""
"Lampada d'Emergenza Alcapower da Parete LiFePO4 IP65","0.255","24x9x4.58","alta","scheda tecnica ufficiale alcapower.com, cod. AP49312"
"Lampada Notturna e d'Emergenza Alcapower Li-Po","","6x2.15","media","scheda tecnica ufficiale alcapower.com, cod. AP49310 - peso non indicato dal fornitore"
"Lampada Portatile Alcapower con Carica USB e Pannello Solare","0.35","","media","scheda tecnica ufficiale alcapower.com, cod. AP18040 - dimensioni non indicate dal fornitore"
"Plafoniera a pile LOVING","0.15","","bassa",""
"Striscia LED Alcapower COB 12V 3000K 5m","0.06","500x1x0.16","media","scheda tecnica ufficiale alcapower.com, cod. LSC12V-3000K (12g/m x5m) - variante IP20, verificare se il prodotto CDA e' questa o la IP65 (stesso prezzo, cod. LSC12V-3000K-IP)"
"Striscia LED Alcapower COB 12V 6500K 5m","0.06","500x1x0.16","media","scheda tecnica ufficiale alcapower.com, cod. LSC12V-6500K (12g/m x5m) - variante IP20, verificare se il prodotto CDA e' questa o la IP65 (stesso prezzo, cod. LSC12V-6500K-IP)"
"Pompa a immersione con valvola 12 L/min","0.25","","bassa",""
"Pompa a immersione con valvola 12 L/min (blister)","0.25","","bassa",""
"Pompa a immersione senza valvola 18 L/min","0.3","","bassa",""
"Pompa a immersione senza valvola 18 L/min (blister)","0.3","","bassa",""
"Pompa a immersione Twin con valvola 19 L/min (blister)","0.35","","bassa",""
"Pompa a immersione Twin con valvola di non ritorno 19 L/min","0.35","","bassa",""
"Pompa a immersione Twin senza valvola di non ritorno 19 L/min","0.35","","bassa",""
"Pompa ad immersione 10 L/min","0.15","","bassa",""
"Pompa ad immersione 15 L/min","0.2","","bassa",""
"Pompa ad immersione 20 L/min","0.25","","bassa",""
"Pompa ad immersione 22 L/min","0.3","","bassa",""
"Pompa ad immersione 22 L/min (blister)","0.3","","bassa",""
"Pompa immersione 18 L (blister)","0.3","","bassa",""
"Pompa immersione con valvola 19 L/min","0.3","","bassa",""
"Pompa immersione con valvola 19 L/min (blister)","0.3","","bassa",""
"Pompa immersione portagomma senza valvola 12 L/min","0.25","","media",""
"Pompa immersione portagomma senza valvola 12 L/min (blister)","0.25","","media",""
"Pompa immersione senza valvola 12 L/min","0.25","","media",""
"Pompa immersione senza valvola 12 L/min (blister)","0.25","","media",""
"Pompa Power Jet 22 L/min","0.3","","bassa",""
